輪を結う絵筆,N6028GM,國崎晶,ようこそ、「何でも屋 朱雀店」へ。アルバイトの荒木雅美です。お茶を出しますので、そちらのソファーにお掛けください。,日常 青春 ラブコメ ギャグ ほのぼの 現代,2020/9/13 20:06,2023/10/6 21:06,1,144,350930,702
転生と少女と魔法技術と戦争,N2838IL,紫と雪と狐,"転生と少女と魔法技術と戦争の話です。

",R15 残酷な描写あり ボーイズラブ ガールズラブ 異世界転生 ヒストリカル オリジナル戦記 時代小説 少女兵士 TS 戦争 仮想科学 魔法 伝記 記録,2023/10/6 20:51,2023/10/6 21:06,1,2,3079,7
ALPINA: The Promise of Twilight,N4804HW,小深田 とわ,田舎の少年クオン・アルフェインは、ある日魔獣と呼ばれる存在の襲撃に会う。そこへ悪魔を名乗る少女アルピナが現れ救命を引き換えに契約を結ぶ。そして、彼女の命令に従い旅を続け、やがて種族の壁を越えた陰謀に巻き込まれていく。,R15 残酷な描写あり オリジナル戦記 冒険 異世界 ファンタジー 天使 悪魔 龍 契約 魔法,2022/10/7 21:04,2023/10/6 21:06,1,370,1154698,2310
はだれ雪,N1890IL,紫乃森　統子,"文久元年、奥州二本松藩に、十を数えたばかりの姫君がいた。
家老大谷彦十郎の嫡男で、文武に秀でた二十八歳の大谷鳴海は、妙な役替えを申し付けられる。
十歳の姫君の護衛という名の傅役がそれであった。
悩める幼い姫君と、それに振り回される鳴海の短編小説。

※この作品はカクヨム・アルファポリスにも投稿されています。
「風に散る（https://ncode.syosetu.com/n0290hr/）」の番外短編です。（本編未読でも大丈夫だと思います）",時代小説 幕末 二本松藩 主従 江戸時代,2023/10/3 23:18,2023/10/6 21:05,1,4,8016,17
百合の間に挟まる男は絶対許さないマンな俺が、百合の間に挟まろうとしてる男に喧嘩を売ったら、男じゃなくて男装してる女の子だった！？,N2843IL,間咲正樹,"俺は三度の飯より百合が好きな、生粋の百合スキーだ。
そんな俺が今一番推している百合ップルが、駅前の高校に通っているアカリちゃんとユイちゃん。
二人はいつも放課後に、駅前のシアトル系コーヒーショップのテラス席でお茶をしているので、俺もそこでキャラメルマキアートを飲みながら、二人がキャッキャウフフしている光景を眺めるのが日課になっていた。
今日も今日とてありがたく百合成分を摂取していた、その時だった――。

「おっ、アカリとユイじゃん。何してんのここで」

突如二人と同じ学校の制服を着たのいかにもなチャラ男が、不躾に二人に声を掛けてきたかと思うと、「今から三人でデートしよう」と、とんでもないことを言い出しやがった！？
フザけんなよッ！！？
俺は百合の間に挟まる男が、宇宙一嫌いなんだよおおお！！！！

「オイ、やめろよッ！　嫌がってるだろッ！！」

気が付くと俺は、チャラ男の肩を掴んで喧嘩を売っていた。
――が、何故か俺はそのチャラ男に、異様に気に入られてしまい……！？",ラブコメ 男装女子 美少女/女子高生 じれじれ ハッピーエンド 高校生 青春/短編/日常 男主人公/一人称 ライトノベル 現実世界恋愛小説 エンターテイメント ほのぼの/コメディー ショートショート,2023/10/6 21:05,2023/10/6 21:05,0,1,4143,9
傭兵、異世界に召喚される,N1555HX,藤咲晃,"　機械文明が発達した世界【デウス・ウェポン】で傭兵稼業を営むスヴェンは、世界統一を果たさんと進撃する覇王討伐を連盟から依頼され立ち向かうのだが……。
　雨降る秋。数多の屍を築いた死闘の末、あと一歩の所で覇王エルデを追い詰めたスヴェンだったが、一瞬の葛藤と躊躇いが運命を引き寄せる。
　スヴェンと覇王エルデの間に眩い閃光が突如と発生し、光に呑まれたスヴェンは【デウス・ウェポン】から忽然と姿を消した。
　閃光に呑まれたスヴェンが目覚めるとそこは見ず知らずの場所、戸惑いと困惑を浮かべるスヴェンに儚さと美しさを同居させた麗しい姫が声をかける。
　ここは魔法文明が発達した世界【テルカ・アトラス】だとスヴェンを召喚した張本人のレーナ姫が語った。
　そしてレーナ姫はスヴェンにとある依頼を出すのだった、それは誰しもが驚く意外な依頼で……。
　こうして異世界召喚されたスヴェンは一度請負った依頼を果たす為に帰還を望み、帰還を条件にレーナ姫の依頼を請けることに。

　ハーメルンで同時連載中",R15 残酷な描写あり 冒険 男主人公 傭兵 異世界召喚 魔法 モンスター 銃と剣の融合 SFからファンタジー 機械文明 魔法文明 OVL大賞9,2022/10/24 17:58,2023/10/6 21:05,1,193,711569,1424
今の生活に不満はないのに　タイムリープしろと君は言う,N7450IJ,KIZOOS,"かつて、ツイッターの「140字小説」という企画で、「妖精に過去へのタイムリープを勧められるが、安定サラリーマン生活を捨てたくないので断る中年男性」の話を書いたんですが（妖精はあきれながら姿を消します）、その「妖精が食い下がったバージョン」を書いてみようと思い立ちました。

青春時代の未練より、現在の平穏さの方が何倍も大事な時。
果たして、タイムリープにどんな価値があり得るのでしょうか？",日常 青春 男主人公 現代 タイムトラベル タイムリープ パラレルワールド 学生時代 人生やり直し 青春時代,2023/8/26 18:36,2023/10/6 21:05,1,20,19767,40
小悪魔系世界征服計画　～ちょっと美少年に生まれただけだと思っていたら、異世界の救世主でした～,N4567IA,朱童,"「僕はリスでもウサギでもないし、ましてやプリンセスなんかじゃ絶対にない！」

普通よりちょっと可愛くて、人に好かれやすいという以外、まったく普通の男子高校生・瑠佳（ルカ）には、秘密がある。小さな頃からずっと、別な世界で日々を送り、成長していく夢を見続けているのだ。

史上最強の呼び声も高い、大魔法使いである祖母・ベリンダ。
その弟子であり、物腰柔らか、ルカのトラウマを刺激しまくる、超絶美形・ユージーン。
外見も内面も、強くて男らしくて頼りになる、寡黙で優しい、薬屋の跡取り・ジェイク。
いつも笑顔で温厚だけど、ルカ以外にまったく価値を見出さない、ヤンデレ系神父・ネイト。
領主の息子なのに気さくで誠実、親友のイケメン貴公子・フィンレー。

彼らの過剰なスキンシップに狼狽えながらも、ルカは日々を楽しく過ごしていたが、ある時を境に、現実世界での急激な体力の衰えを感じ始める。夢から覚めるたびに強まる倦怠感に加えて、祖母や仲間達の言動にも不可解な点が。更には魔王の復活も重なって、瑠佳は次第に世界全体に疑問を感じるようになっていく。
やがて現実の自分の不調の原因が夢にあるのではないかと考えた瑠佳は、「夢の世界」そのものを否定するようになるが――。

無自覚小悪魔ちゃん、総受系愛され主人公による、保護者同伴RPG（？）。
（この作品はカクヨム、アルファポリスにも掲載しています）
（勝手にランキングに参加していますので、クリックしていただけると大変ありがたいです。よろしくお願いします☆）",ボーイズラブ 異世界転生 冒険 ほのぼの 男主人公 勇者 魔王 西洋 主人公総受 イケメン 溺愛 キネノベ大賞７ SQEXノベル大賞 ESN大賞５ 集英社小説大賞４ コミックスピア大賞3,2023/1/23 20:00,2023/10/6 21:05,1,94,361622,724
現代にダンジョンが現れたので、異世界人とパーティ組んでみた,N3964IC,立風館幻夢,"世界を研究する「普通」の女子大学院生、「猪飼瑠璃（いかいるり）」、彼女は異世界人と友達になることを夢見て、日々研究に勤しんでいた。
ある日、いつものように大学院に向かっている最中、大地震に巻き込まれる。
……揺れが収まり、辺りを見ると、得体のしれないモンスターと猫獣人が現れた！？
あたふたしているうちに、瑠璃はダンジョンの中へと迷い込んでしまう。
その中で、エルフの少女、吸血鬼の少女、サキュバスの女性、ドワーフの男性と出会い、彼らとパーティを組むことになり……。

※男性キャラも数人登場しますが、主人公及びヒロインに恋愛感情はありません。
※カクヨム、アルファポリスでも更新中",R15 残酷な描写あり ガールズラブ 現代 百合ハーレム ダンジョン 女主人公 主人公最強 パーティ全員最強 逆転移 変身ヒーロー 巨大ロボ 集英社小説大賞４ ネトコン11,2023/3/1 4:03,2023/10/6 21:05,1,279,304926,610
カエルになる魔法,N9677IE,未田,"振られたセフレに、もう一度恋をする。

蓮見玲奈は大学に入学してすぐ、学校の図書館で二年生の安良岡茉鈴と出会い、身体だけの関係になった。
やがて、玲奈は茉鈴に恋心を抱き、気持ちを伝える。だが、理由がわからないまま振られ、ふたりの関係は二ヶ月で終わりを迎える。きっと、茉鈴にとっての醜いカエルになったのだと、玲奈は思い込んだ。

それから一年後、玲奈は友人の頼みで、メルヘンがテーマのコンセプトカフェで一日だけアルバイトをする。そこへ茉鈴が客として現れ、再会する。
後日、玲奈はアルバイトを続けようとしたところ、茉鈴も採用面接に訪れる。そして同僚となり、かつての気持ちが蘇っていく。

身体だけではなく、次は中身を理解しようとするふたり。互いに求める理想と気持ちが、次第に交差していく。
(全25章・25万文字ぐらい、週1章更新の予定です)
(カクヨムさんとpixivさんにも掲載しています)",R15 ガールズラブ 百合 現代恋愛 女子大生 きっちり×だらしない セフレ 失恋 蛙化現象 コンセプトカフェ お仕事 ネトコン11,2023/5/1 8:05,2023/10/6 21:05,1,66,265046,531
【2章開始】ブラックリスト勇者を殺してくれ,N1516IK,七條,"これは転生した男二人で日本人の勇者を殺す旅の話。

『勇者』──魔王の誕生した世界を救うべく、光の神に召喚された千代ノ門高校の教師、生徒含め659人。

事故死した、幼馴染の二人が転生する際に、光の神を嫌う、闇の神に提示された条件──『勇者を殺すこと』。

勇者を殺す理由──魔王を倒した後、力に溺れたり、精神がおかしくなってしまったりと、原因は様々だが、シリアルキラーと化して、現地の者では止められないから。

『ブラックリスト』──特に悪事を働く勇者22人の断片的な情報の書かれた闇の神が作成したリスト。

転生者アウルムの能力
・幻術を見た者にだけそれが現実になる能力
・亜空間を作り、移動する能力
・あらゆる情報を表示する能力

転生者シルバの能力
・約束を破ることを許さない能力
・自分の縄張りで好き勝手させない能力
・触れたものの時間を巻き戻したり、早めたりする能力

戦闘向きではないこのユニークスキルをもらい、勇者たちをプロファイリングして探し出し、殺す。
後は自由。

シリアルキラーに詳しいアウルムと、筋の通っていないことを許さないシルバの二人旅。
カクヨムでも公開",R15 残酷な描写あり 異世界転生 異世界転移 異能力バトル 冒険 相棒・コンビ・バディ シリアルキラー サイコパス ブロマンス プロファイリング 男主人公 勇者殺し 高校まるごと転移勇者 集団転移 ギャグ・コメディあり ダブル主人公男×男 中世 ダンジョン,2023/9/6 16:12,2023/10/6 21:05,1,37,144928,290
黄金の魔術,N7287II,木山碧人,"　『一か月以内に一億ユーロを集めろ』。そんな無理難題を突き付けられたのは、組織『ブラックスワン』に属する女性セレーナ。オカルトと魔術が秘密裏に流行るドイツに潜入し、手段を選ばない非合法的な成り上がり生活が始まる。

※毎日投稿する予定ですが、時間は不定期です。
※ブラックスワンから始まる五章目のストーリーとなります。",残酷な描写あり 伝奇 異能力バトル スパイ 冒険 お金 マネーゲーム 成り上がり 魔術 オカルト 女性主人公,2023/8/1 20:53,2023/10/6 21:05,1,67,103516,208
黎明世界の白銀騎士　～Legend sky～,N8641IJ,蛍蛍,"運命に抗え。
使命を果たせ。",残酷な描写あり オリジナル戦記 IF戦記 冒険 ラブコメ 近未来 人工知能 スペースオペラ 天災 戦闘機 恋愛 末期戦 OVL大賞9,2023/8/29 20:32,2023/10/6 21:05,1,36,189910,380
魔王の親友は勇者の親友的立ち位置の俺,N9852IA,荒木空,"　物語の中ではよく最後のボスとして語られることが多い魔王。そしてその魔王を倒すべく立ち上がるのは勇者とその仲間達。

　さて、問題だ。もし、勇者の親友的立ち位置の奴が、本当は勇者のことをなんとも思っておらず、むしろ魔王と親友同士であったなら……？

　これはそんなお話。


　☆　　　☆　　　☆　　　☆　　　☆


　原点回帰。今の作風になるきっかけとなった作品へのリスペクトを胸に、例えどれだけ内容が稚拙だろうと、無理矢理だろうと、毎日更新を完結まで絶やさない。そんな目的の為に復活した作品です。
　もし時間に余裕が有るようであれば読んで行ってくださると嬉しいです。

　話題の頭に▲とあるページは読まなくても大丈夫です。話題の頭に▼とあるページは読んでも読まなくても良いけど読んだ方が良いページです。これ等を踏まえて読んでいただければそれだけこの作品を深く楽しめると思います。


カクヨム様の方でも更新中。",R15 残酷な描写あり オリジナル戦記 冒険 現地主人公 シリアス 男主人公 魔王 勇者 神話 成り上がり ダンジョン,2023/1/26 12:00,2023/10/6 21:05,1,256,372094,745
人狼と少女 垣根の上を翔ぶ女　亜依音,N2056FU,冬忍 金銀花,"　亜依音は十人の巫女の力を一人で受継いで誕生してしまった。産まれて早々に巫女の力を発揮し、母の沙霧には到底太刀打ちが出来ないと考えて、桜子に亜衣音の悲惨とも思われる巫女の力を消してくれ自分では育てきれないと、母の桜子に泣いて縋った。

　亜依音には風魔法という巫女の力が残りこの風魔法を遣（つか）って人生を進んでいく。可愛い亜依音の成長に巫女の血を欲する組織が暗躍し亜衣音も含めて家族の全員を拉致せんとする。

　亜衣音はマイケルという巫と結婚するも、夕霧は海斗との情事で産まれた娘だった。その夕霧は新しい巫女の加護によりマイケルから逃れる事が出来て、非道にも私こと亜衣音を撃ち殺してしまった。

　それからは新しい巫女たちが産まれて夕霧の元に集まりだす。
",R15 青春 人狼と少女,2019/10/4 16:26,2023/10/6 21:05,1,320,1877270,3755
オッサンの異世界妄想奮闘記,N5830HO,トム,"
2023/07/02【累計PV450000達成】

2022/08/10　第２回 一二三書房WEB小説大賞　一次通過作品


気付くと真っ白な世界に俺【太田零士】は居た。意味が分からずオロオロしていると。どこからともなく声が聞こえてくる。

残念ですが貴方は先程、お亡くなりになりました。

　余りにもありふれたテンプレな異世界転生スタートだと思っていた。

　あなたにはもう肉体が存在しません。その御霊を清め、輪廻へ戻すことも出来ます。

　ん？なんか思っているのと違うぞ。

ひょんなことから異世界で。チート貰って今日も妄想ダダ漏れで。元アラフィフおじさんが、ヒイコラせっせと頑張ります。

始まりはありふれた、どこにでも有るような異世界転生物語。

いつしかそれが、世界そのものに関わる事になっていくなんて…。

さぁ、長いお話の始まりです。

作中、様々な考察、化学、物理学的なものが出てきますが、全てご都合主義ですので。そこは平にご容赦願います。

この作品は「エブリスタ」にも掲載しています",R15 残酷な描写あり 異世界転生 冒険 男主人公 チート 魔法 西洋 シリアス おっさん,2022/4/8 21:26,2023/10/6 21:05,1,256,836630,1674
廃村ではじめるスローライフ ～前世知識と回復術を使ったらチートな宿屋ができちゃいました！～,N2579HX,うみ,"「異世界で現代知識を活かし、いろんな和をお届けします！」

日本の記憶を持つエリックは、苦学を重ね回復術師となる。
意気揚々と冒険者になった彼であったが大きな問題を抱えていた。それは、ヒールの回復力が致命的に低かったこと。
そのため入るパーティ、入るパーティで煙たがれ、不遇の日々を過ごしていた。
失意の中、怪我をした猫を治療したことで彼はヒールの本質に気が付く。
自分のヒールは出力が低い代わりに持続力が高いと。
怪我を瞬時に癒すことはできない。だけど、布団に回復魔法をかけたらどうだ？　一晩布団に触れ続けるからバッチリ回復するはずだ。
さらに湯につかってもらったり、食事をとってもらうことで更なる回復が促せる。
ゲームでは当たり前に宿に泊まれば回復したが、異世界ではそうじゃない。
「怪我と体力を回復できる宿」……これだ！
こうして彼は猫を治療した時に親しくなった猫系獣人のマリーと共に廃村を目指す。そこで、民宿を立ち上げるために。
民宿では日本的な物を多数取り入れ、お客さんを楽しませよう。
そんな野望を胸に抱き、旅立つエリックなのであった。

※タイトル変更いたしました。
旧題
廃村でポツンと民宿はじめました～宿に泊まると全快するって知ってました？　おいしい日本食も自慢です～",異世界転生 ほのぼの スローライフ お店経営 廃村 自給自足 ヒール 温泉 猫耳,2022/10/27 18:22,2023/10/6 21:04,1,163,407533,816
リリィブーケの花束,N2842IL,かがとしい,"【世界がまだ混沌とし、生きているものが絶望していた時代。
女神が一人の人間に希望を囁いた。
その囁きは咏となって灯火となった。
その灯火は唄となって、私達を導いた。
その導きは歌となって、私達の力となり光となった。　
人々はその人達を歌い人（エールシオン）と呼び、今日も私達に希望を与え続ける】

これは一人の少女、カナンが歌い人（エールシオン）を目指す成り上がりほのぼの日常百合物語である。


",R15 ガールズラブ 青春 冒険 女主人公 西洋 魔法,2023/10/6 21:04,2023/10/6 21:04,1,1,448,1
勇者が死んだ罪と罰,N3406IH,吉,"「勇者が死んだ」
約100年人間族を支配していた魔王
強大な魔獣、悪魔を従え人間とはかけ離れた魔力を有する魔王を征伐した者の死は様々な思想を交錯させた

 ある者は何かの陰謀に巻き込まれて死んだと言う
 ある者は勇者が何者かに敗れ殺されたと言う
 ある者は神に役目を全うし召喚されたと言う


    勇者の死を受け、各国の王族は神聖な勇者の死を追求する事は今まで彼が行ってきた功績を踏みにじる行為として世界の禁忌とした


10年の時が過ぎ、勇者の娘リリアと情報屋エリックが世界の禁忌を調べることになる
勇者の死に迫る冒険譚",R15 残酷な描写あり オリジナル戦記 ミステリー 異能力バトル 冒険 魔法 勇者 バトル 魔術,2023/6/29 17:10,2023/10/6 21:04,1,102,308343,617
